"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","146,740,964","±8,590","146,740,964","(X)"
"        Occupied housing units","132,737,146","±140,273","90.5%","±0.1"
"        Vacant housing units","14,003,818","±145,175","9.5%","±0.1"
"        Homeowner vacancy rate","1.0","±0.1","(X)","(X)"
"        Rental vacancy rate","5.7","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","146,740,964","±8,590","146,740,964","(X)"
"        1-unit, detached","89,646,723","±167,336","61.1%","±0.1"
"        1-unit, attached","9,316,139","±50,435","6.3%","±0.1"
"        2 units","4,724,007","±44,178","3.2%","±0.1"
"        3 or 4 units","6,335,116","±48,425","4.3%","±0.1"
"        5 to 9 units","6,505,738","±54,722","4.4%","±0.1"
"        10 to 19 units","6,278,389","±59,165","4.3%","±0.1"
"        20 or more units","15,795,350","±80,361","10.8%","±0.1"
"        Mobile home","7,939,191","±60,423","5.4%","±0.1"
"        Boat, RV, van, etc.","200,311","±7,840","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","146,740,964","±8,590","146,740,964","(X)"
"        Built 2020 or later","5,967,001","±57,397","4.1%","±0.1"
"        Built 2010 to 2019","14,282,223","±63,223","9.7%","±0.1"
"        Built 2000 to 2009","19,982,040","±66,348","13.6%","±0.1"
"        Built 1990 to 1999","17,382,714","±69,938","11.8%","±0.1"
"        Built 1980 to 1989","18,481,899","±63,887","12.6%","±0.1"
"        Built 1970 to 1979","20,140,923","±80,917","13.7%","±0.1"
"        Built 1960 to 1969","14,113,943","±68,220","9.6%","±0.1"
"        Built 1950 to 1959","13,358,031","±62,729","9.1%","±0.1"
"        Built 1940 to 1949","6,210,969","±44,283","4.2%","±0.1"
"        Built 1939 or earlier","16,821,221","±63,157","11.5%","±0.1"
"ROOMS","","","",""
"    Total housing units","146,740,964","±8,590","146,740,964","(X)"
"        1 room","4,028,918","±50,367","2.7%","±0.1"
"        2 rooms","5,088,700","±43,166","3.5%","±0.1"
"        3 rooms","13,588,194","±86,798","9.3%","±0.1"
"        4 rooms","23,193,423","±92,677","15.8%","±0.1"
"        5 rooms","26,500,783","±93,653","18.1%","±0.1"
"        6 rooms","25,445,209","±95,807","17.3%","±0.1"
"        7 rooms","17,108,336","±72,505","11.7%","±0.1"
"        8 rooms","13,301,241","±73,427","9.1%","±0.1"
"        9 rooms or more","18,486,160","±95,261","12.6%","±0.1"
"        Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","146,740,964","±8,590","146,740,964","(X)"
"        No bedroom","4,493,747","±52,114","3.1%","±0.1"
"        1 bedroom","15,920,411","±72,958","10.8%","±0.1"
"        2 bedrooms","36,402,876","±110,731","24.8%","±0.1"
"        3 bedrooms","56,212,231","±111,185","38.3%","±0.1"
"        4 bedrooms","26,207,243","±89,580","17.9%","±0.1"
"        5 or more bedrooms","7,504,456","±48,572","5.1%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","132,737,146","±140,273","132,737,146","(X)"
"        Owner-occupied","86,635,506","±272,877","65.3%","±0.1"
"        Renter-occupied","46,101,640","±154,221","34.7%","±0.1"
"        Average household size of owner-occupied unit","2.63","±0.01","(X)","(X)"
"        Average household size of renter-occupied unit","2.26","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","132,737,146","±140,273","132,737,146","(X)"
"        Moved in 2023 or later","21,820,400","±92,944","16.4%","±0.1"
"        Moved in 2020 to 2022","29,409,322","±96,025","22.2%","±0.1"
"        Moved in 2010 to 2019","39,744,302","±98,490","29.9%","±0.1"
"        Moved in 2000 to 2009","19,212,458","±75,261","14.5%","±0.1"
"        Moved in 1990 to 1999","11,463,382","±58,726","8.6%","±0.1"
"        Moved in 1989 and earlier","11,087,282","±49,423","8.4%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","132,737,146","±140,273","132,737,146","(X)"
"        No vehicles available","11,310,673","±72,714","8.5%","±0.1"
"        1 vehicle available","44,094,691","±101,361","33.2%","±0.1"
"        2 vehicles available","48,156,355","±128,129","36.3%","±0.1"
"        3 or more vehicles available","29,175,427","±85,907","22.0%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","132,737,146","±140,273","132,737,146","(X)"
"        Utility gas","61,887,114","±128,627","46.6%","±0.1"
"        Bottled or tank gas (propane, butane, etc.)","6,183,787","±48,615","4.7%","±0.1"
"        Electricity","55,481,476","±96,479","41.8%","±0.1"
"        Fuel oil, kerosene, etc.","4,654,835","±35,907","3.5%","±0.1"
"        Coal or coke","84,030","±4,842","0.1%","±0.1"
"        Wood","1,714,541","±19,977","1.3%","±0.1"
"        Solar energy","535,943","±13,074","0.4%","±0.1"
"        Other fuel","566,948","±14,901","0.4%","±0.1"
"        No fuel used","1,628,472","±26,647","1.2%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","132,737,146","±140,273","132,737,146","(X)"
"        Lacking complete plumbing facilities","546,628","±13,967","0.4%","±0.1"
"        Lacking complete kitchen facilities","1,103,838","±18,205","0.8%","±0.1"
"        No telephone service available","1,060,561","±19,688","0.8%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","132,737,146","±140,273","132,737,146","(X)"
"        1.00 or less","128,033,999","±162,770","96.5%","±0.1"
"        1.01 to 1.50","2,993,609","±35,671","2.3%","±0.1"
"        1.51 or more","1,709,538","±27,247","1.3%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","86,635,506","±272,877","86,635,506","(X)"
"        Less than $50,000","4,345,055","±39,916","5.0%","±0.1"
"        $50,000 to $99,999","4,478,995","±43,946","5.2%","±0.1"
"        $100,000 to $149,999","4,952,247","±43,468","5.7%","±0.1"
"        $150,000 to $199,999","6,525,903","±50,244","7.5%","±0.1"
"        $200,000 to $299,999","14,669,627","±83,289","16.9%","±0.1"
"        $300,000 to $499,999","24,149,838","±102,975","27.9%","±0.1"
"        $500,000 to $999,999","20,576,477","±78,921","23.8%","±0.1"
"        $1,000,000 or more","6,937,364","±41,454","8.0%","±0.1"
"        Median (dollars)","360,600","±618","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","86,635,506","±272,877","86,635,506","(X)"
"        Housing units with a mortgage","51,697,973","±185,117","59.7%","±0.1"
"        Housing units without a mortgage","34,937,533","±136,714","40.3%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","51,697,973","±185,117","51,697,973","(X)"
"        Less than $500","369,682","±9,972","0.7%","±0.1"
"        $500 to $999","4,445,898","±43,843","8.6%","±0.1"
"        $1,000 to $1,499","9,951,486","±59,580","19.2%","±0.1"
"        $1,500 to $1,999","10,501,438","±63,996","20.3%","±0.1"
"        $2,000 to $2,499","8,284,538","±56,624","16.0%","±0.1"
"        $2,500 to $2,999","5,814,054","±49,285","11.2%","±0.1"
"        $3,000 or more","12,330,877","±58,708","23.9%","±0.1"
"        Median (dollars)","2,035","±4","(X)","(X)"
"    Housing units without a mortgage","34,937,533","±136,714","34,937,533","(X)"
"        Less than $250","2,149,806","±25,636","6.2%","±0.1"
"        $250 to $399","4,841,323","±43,715","13.9%","±0.1"
"        $400 to $599","8,188,972","±48,332","23.4%","±0.1"
"        $600 to $799","6,640,199","±45,080","19.0%","±0.1"
"        $800 to $999","4,490,934","±35,587","12.9%","±0.1"
"        $1,000 or more","8,626,299","±49,161","24.7%","±0.1"
"        Median (dollars)","664","±2","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","51,425,144","±183,292","51,425,144","(X)"
"        Less than 20.0 percent","23,675,702","±116,876","46.0%","±0.1"
"        20.0 to 24.9 percent","7,440,497","±46,524","14.5%","±0.1"
"        25.0 to 29.9 percent","5,174,543","±41,129","10.1%","±0.1"
"        30.0 to 34.9 percent","3,517,542","±38,039","6.8%","±0.1"
"        35.0 percent or more","11,616,860","±60,764","22.6%","±0.1"
"        Not computed","272,829","±10,375","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","34,420,432","±136,202","34,420,432","(X)"
"        Less than 10.0 percent","15,384,406","±84,676","44.7%","±0.1"
"        10.0 to 14.9 percent","6,576,372","±49,177","19.1%","±0.1"
"        15.0 to 19.9 percent","3,722,013","±29,455","10.8%","±0.1"
"        20.0 to 24.9 percent","2,208,304","±23,096","6.4%","±0.1"
"        25.0 to 29.9 percent","1,424,388","±18,433","4.1%","±0.1"
"        30.0 to 34.9 percent","972,307","±17,131","2.8%","±0.1"
"        35.0 percent or more","4,132,642","±36,041","12.0%","±0.1"
"        Not computed","517,101","±11,641","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","43,914,059","±155,945","43,914,059","(X)"
"        Less than $500","2,664,282","±32,568","6.1%","±0.1"
"        $500 to $999","8,017,110","±48,874","18.3%","±0.1"
"        $1,000 to $1,499","11,579,846","±78,119","26.4%","±0.2"
"        $1,500 to $1,999","9,757,469","±69,267","22.2%","±0.1"
"        $2,000 to $2,499","5,802,287","±44,277","13.2%","±0.1"
"        $2,500 to $2,999","2,841,215","±36,004","6.5%","±0.1"
"        $3,000 or more","3,251,850","±35,026","7.4%","±0.1"
"        Median (dollars)","1,487","±3","(X)","(X)"
"        No rent paid","2,187,581","±30,824","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","42,954,477","±152,502","42,954,477","(X)"
"        Less than 15.0 percent","5,182,335","±44,627","12.1%","±0.1"
"        15.0 to 19.9 percent","5,152,781","±44,866","12.0%","±0.1"
"        20.0 to 24.9 percent","5,412,134","±50,270","12.6%","±0.1"
"        25.0 to 29.9 percent","4,969,965","±45,294","11.6%","±0.1"
"        30.0 to 34.9 percent","4,056,945","±41,924","9.4%","±0.1"
"        35.0 percent or more","18,180,317","±100,184","42.3%","±0.1"
"        Not computed","3,147,163","±36,488","(X)","(X)"